,Num. of cells,Cutoff,% explored cells,Time [s],Eigenvalue 0,Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,Eigenvalue 5
16,900.0,1.308080808080808,20.88888888888889,0.13678789138793945,1.4432899320127035e-14,-0.7137547211635575,-3.8296093951942565,-7.388099132194192,-11.029360829215513,-11.394994437892787
17,900.0,1.3585858585858586,21.777777777777775,0.14484357833862305,1.3322676295501878e-15,-0.7176091442470807,-3.8139324033479043,-7.235324814905423,-10.05497576677866,-10.468484939720932
18,900.0,1.4090909090909092,24.0,0.1729269027709961,1.765254609153999e-14,-0.7165164007700919,-3.4981689872373725,-7.0609673724523185,-9.225896306861646,-9.875917211689265
19,900.0,1.4595959595959596,24.22222222222222,0.18076610565185547,1.9872992140790302e-14,-0.746341827019561,-3.450209001705952,-7.286092960626554,-9.204031925573508,-9.892990655054547
20,900.0,1.5101010101010102,24.444444444444443,0.18233847618103027,-2.3314683517128287e-14,-0.7458774822182584,-3.4886752280992925,-7.228316972829017,-8.987507422449621,-9.791944678501968
21,900.0,1.5606060606060606,24.88888888888889,0.1888265609741211,1.5987211554602254e-14,-0.7408972774602272,-3.5160488623931143,-7.199710230331425,-8.714954283322893,-9.491495773613815
22,900.0,1.6111111111111112,24.88888888888889,0.19180750846862793,-1.587618925213974e-14,-0.7408972774602555,-3.516048862393121,-7.199710230331424,-8.714954283322816,-9.491495773613828
23,900.0,1.6616161616161615,25.333333333333336,0.1925342082977295,1.27675647831893e-14,-0.7370780967465834,-3.4895644702081077,-6.995749032388587,-8.665368157502035,-9.544852904705547
24,900.0,1.7121212121212122,26.222222222222225,0.20724916458129883,-5.329070518200751e-15,-0.724916282484227,-3.4405582826706276,-6.754757578828183,-8.048149129660885,-8.986260439748223
25,900.0,1.7626262626262625,27.555555555555557,0.2319352626800537,2.7200464103316335e-14,-0.7052381074002084,-3.369922341676644,-6.71804169555347,-7.555247670459804,-8.331812504442881
26,900.0,1.8131313131313131,27.77777777777778,0.2251114845275879,4.4297898682543746e-14,-0.7280063809483802,-3.3342466357541527,-6.899810688921484,-7.521810893709155,-8.335718562544546
27,900.0,1.8636363636363635,28.22222222222222,0.2339799404144287,2.1649348980190553e-14,-0.7223506095323202,-3.358737069201011,-6.857749954714131,-7.258734635663351,-8.08470355274161
28,900.0,1.9141414141414141,28.888888888888886,0.24384450912475586,3.4861002973229915e-14,-0.7153450217476258,-3.3845683003389597,-6.762923460043656,-7.03149282706759,-7.891788429419608
29,900.0,1.9646464646464645,29.555555555555557,0.25154566764831543,-1.9761969838327786e-14,-0.7028515912955857,-3.380090449619423,-6.804798253639823,-6.948483410067965,-7.667199327104361
30,900.0,2.015151515151515,30.444444444444446,0.2628798484802246,7.66053886991358e-15,-0.6921194153499071,-3.353338928506835,-6.440040263918125,-6.530749706693466,-7.427390399472385
31,900.0,2.0656565656565657,31.333333333333336,0.27575135231018066,-4.551914400963142e-15,-0.6910629343702532,-3.3943824677113734,-6.158399450650394,-6.247120726218881,-7.189051697998818
32,900.0,2.116161616161616,32.88888888888889,0.30005860328674316,9.325873406851315e-15,-0.6748033172190928,-3.2997831770497412,-5.9901689200613175,-6.177934085693114,-6.833236370595899
33,900.0,2.166666666666667,33.55555555555556,0.31245851516723633,2.7533531010703882e-14,-0.6879650999997146,-3.2909471325725774,-5.769915888465476,-6.1390752720085455,-6.806175248944697
34,900.0,2.217171717171717,34.0,0.3201789855957031,6.328271240363392e-15,-0.692497143634902,-3.3180519697111017,-5.659539988322033,-6.057136553623394,-6.7433286106636015
35,900.0,2.2676767676767677,34.88888888888889,0.33881163597106934,2.7644553313166398e-14,-0.6853582284901926,-3.2880628846349684,-5.3612861336892585,-5.702710005007103,-6.662906240691569
36,900.0,2.3181818181818183,36.22222222222222,0.3597452640533447,-1.4210854715202004e-14,-0.679946031924807,-3.264581270407213,-5.075322393988393,-5.427845520739126,-6.640526817543127
37,900.0,2.3686868686868685,37.111111111111114,0.38313961029052734,5.440092820663267e-15,-0.6924588983773963,-3.222101348693714,-4.943868094553297,-5.332009326688217,-6.734141143213457
38,900.0,2.419191919191919,38.44444444444444,0.40261316299438477,1.4099832412739488e-14,-0.68021088529219,-3.177995507356115,-4.583660239089594,-4.943740805249516,-6.606039902357774
39,900.0,2.4696969696969697,39.55555555555556,0.42676401138305664,-3.6415315207705135e-14,-0.6870655524096495,-3.171971076209581,-4.344216211317162,-4.775713950295239,-6.60817045136027
