,Num. of cells,Cutoff,% explored cells,Time [s],Eigenvalue 0,Eigenvalue 1,Eigenvalue 2,Eigenvalue 3,Eigenvalue 4,Eigenvalue 5,Eigenvalue 6,Eigenvalue 7,Eigenvalue 8
14,900.0,1.2000000000000002,20.22222222222222,0.13630962371826172,,2.9753977059954195e-14,-0.7120237050287351,-3.8375376289906944,-7.848341845166782,-11.26628512505349,-11.530247559200342,-12.611388467196686,-18.769205193311358
15,900.0,1.25,20.22222222222222,0.13549399375915527,,3.097522238704187e-14,-0.7120237050288075,-3.8375376289906526,-7.848341845166826,-11.266285125053518,-11.530247559200268,-12.611388467196642,-18.769205193311418
16,900.0,1.3,20.666666666666668,0.13958406448364258,,9.547918011776346e-15,-0.7239897343637721,-3.9005261636865107,-7.594698986410761,-11.0649137183726,-11.401531793008765,-12.838890811207238,-17.91506183244928
17,900.0,1.35,21.777777777777775,0.1530771255493164,,1.4876988529977098e-14,-0.7176091442470701,-3.8139324033478976,-7.235324814905387,-10.05497576677868,-10.468484939720952,-12.736696006306568,-16.5682148660874
18,900.0,1.4,23.555555555555554,0.17654800415039062,,5.329070518200751e-15,-0.6951864988977163,-3.590029228024212,-6.90570011771441,-9.17026947734191,-9.673088080089524,-12.295694586335095,-15.128620841989997
19,900.0,1.4500000000000002,24.22222222222222,0.18082523345947266,,4.6629367034256575e-15,-0.7463418270195586,-3.4502090017059297,-7.286092960626507,-9.204031925573535,-9.89299065505459,-11.949423192096845,-13.981250014989929
20,900.0,1.5,24.444444444444443,0.18450450897216797,,-2.475797344914099e-14,-0.7458774822182479,-3.488675228099289,-7.228316972829022,-8.987507422449573,-9.791944678501872,-11.941738941614128,-14.12525913810994
21,900.0,1.55,24.666666666666668,0.2467327117919922,,7.549516567451064e-15,-0.7387146447498322,-3.4807249044264723,-7.296297162277901,-8.863154443162324,-9.512570655864728,-12.015297571491727,-13.847834053682012
22,900.0,1.6,24.88888888888889,0.2244417667388916,,-4.6629367034256575e-15,-0.740897277460249,-3.516048862393096,-7.199710230331386,-8.71495428332284,-9.491495773613753,-12.080944630657605,-13.845404925655936
23,900.0,1.6500000000000001,25.333333333333336,0.20129656791687012,,-1.6653345369377348e-15,-0.73707809674657,-3.489564470208075,-6.9957490323886,-8.665368157502042,-9.544852904705662,-11.960458934158607,-13.753239000138986
24,900.0,1.7000000000000002,26.0,0.2070293426513672,,1.9984014443252818e-14,-0.7181573885353435,-3.4425147510609846,-6.812239737991894,-8.090035282972893,-8.96415050185502,-11.728565505477889,-13.537968635840269
25,900.0,1.75,26.88888888888889,0.21606230735778809,,-3.1086244689504383e-15,-0.7094619385253481,-3.4283835462816685,-6.614624035099391,-7.558065776525264,-8.575760166390772,-11.66569265553648,-13.270739531042905
26,900.0,1.8,27.77777777777778,0.22741270065307617,,-2.9976021664879227e-15,-0.7280063809483968,-3.3342466357541527,-6.899810688921463,-7.521810893709194,-8.335718562544582,-11.015166914284569,-12.57136350102774
27,900.0,1.85,28.000000000000004,0.23443293571472168,,1.354472090042691e-14,-0.7277636778738011,-3.3618324581744914,-6.811566824165788,-7.377590558823484,-8.312796688838368,-11.095147587714473,-12.593666916846445
28,900.0,1.9000000000000001,28.666666666666668,0.24111080169677734,,-2.0539125955565396e-14,-0.7135712712121288,-3.3602114974138515,-6.871783443946153,-7.1297566514170425,-7.867822173066475,-11.009327928701552,-12.160070299363055
29,900.0,1.9500000000000002,29.333333333333332,0.25129222869873047,,2.6700863742235015e-14,-0.7044499720907464,-3.3546919229585836,-6.764527659790692,-7.0117076510216565,-7.796834392852272,-11.234627823520105,-11.787105117945302
30,900.0,2.0,30.22222222222222,0.3047640323638916,,-6.661338147750939e-16,-0.6981685246622715,-3.3926056636341304,-6.541290109883005,-6.543523432728516,-7.452857137136037,-11.046210698262422,-11.636610348906487
31,900.0,2.05,31.11111111111111,0.28009510040283203,,4.440892098500626e-16,-0.6857511140210656,-3.3965278862655315,-6.190189005204808,-6.271133811328393,-7.186770074751701,-10.569459921419705,-11.74139549352295
32,900.0,2.1,32.0,0.2948462963104248,,-5.88418203051333e-15,-0.6767352151313727,-3.3466383800321347,-6.043995534358685,-6.122211911852858,-7.096470463046972,-10.435750454425966,-11.359840127391802
33,900.0,2.1500000000000004,33.33333333333333,0.31836843490600586,,-9.658940314238862e-15,-0.6918633195002681,-3.2902774554467475,-5.864116082302978,-6.195293560163874,-6.86963642402016,-9.851045036764592,-11.076041666666907
34,900.0,2.2,33.77777777777778,0.32238221168518066,,3.11972669919669e-14,-0.6910839629744674,-3.300958111381332,-5.731864658883051,-6.145720486352736,-6.723954505788409,-9.681093560210131,-11.219631837902908
